key,parameter_code,process_code,flow_code,source_region_code,target_country_code,value,unit,source
"CAPEX,RES-HYBR,,PER,",CAPEX,RES-HYBR,,PER,,984.8998338932627,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,PRT,",CAPEX,RES-HYBR,,PRT,,1233.3780712967177,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,RUS,",CAPEX,RES-HYBR,,RUS,,1404.0619157282422,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,SAU,",CAPEX,RES-HYBR,,SAU,,1142.9299102289447,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,SWE,",CAPEX,RES-HYBR,,SWE,,1137.7470625109563,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,THA,",CAPEX,RES-HYBR,,THA,,1167.7004648066352,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,TUN,",CAPEX,RES-HYBR,,TUN,,1298.575374233374,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,UKR,",CAPEX,RES-HYBR,,UKR,,1077.650346838318,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,URY,",CAPEX,RES-HYBR,,URY,,1473.4910182236545,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,USA,",CAPEX,RES-HYBR,,USA,,1122.077935922249,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,VNM,",CAPEX,RES-HYBR,,VNM,,1512.1572497595614,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF,",CAPEX,RES-HYBR,,ZAF,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-EC,",CAPEX,RES-HYBR,,ZAF-EC,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-FRS,",CAPEX,RES-HYBR,,ZAF-FRS,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-GAU,",CAPEX,RES-HYBR,,ZAF-GAU,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-KWA,",CAPEX,RES-HYBR,,ZAF-KWA,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-LIM,",CAPEX,RES-HYBR,,ZAF-LIM,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-MPU,",CAPEX,RES-HYBR,,ZAF-MPU,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-NC,",CAPEX,RES-HYBR,,ZAF-NC,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-NW,",CAPEX,RES-HYBR,,ZAF-NW,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,RES-HYBR,,ZAF-WC,",CAPEX,RES-HYBR,,ZAF-WC,,1229.1954260584585,USD2021/kW,calculated. PV:  WIND-ON: 
"CAPEX,SOEC-EL,,,",CAPEX,SOEC-EL,,,,1988.5262468144356,USD2021/kW,
"CAPEX,WIND-OFF,,ARE,",CAPEX,WIND-OFF,,ARE,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG,",CAPEX,WIND-OFF,,ARG,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-BA,",CAPEX,WIND-OFF,,ARG-BA,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-CAT,",CAPEX,WIND-OFF,,ARG-CAT,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-CBA,",CAPEX,WIND-OFF,,ARG-CBA,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-CHA,",CAPEX,WIND-OFF,,ARG-CHA,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-CHU,",CAPEX,WIND-OFF,,ARG-CHU,,3316.6422675294375,USD2021/kW,
"CAPEX,WIND-OFF,,ARG-COR,",CAPEX,WIND-OFF,,ARG-COR,,3316.6422675294375,USD2021/kW,
